分类: 4K频道, 名称: CCTV 4K, 有效: 0, IPv4: 27, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 4K频道, 名称: 湖南卫视4K, 有效: 0, IPv4: 44, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 4K频道, 名称: 浙江卫视4K, 有效: 0, IPv4: 40, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 4K频道, 名称: 东方卫视4K, 有效: 0, IPv4: 36, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 4K频道, 名称: 江苏卫视4K, 有效: 0, IPv4: 40, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 4K频道, 名称: 北京卫视4K, 有效: 0, IPv4: 51, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 4K频道, 名称: 广东卫视4K, 有效: 0, IPv4: 41, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 4K频道, 名称: 深圳卫视4K, 有效: 0, IPv4: 39, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 4K频道, 名称: 山东卫视4K, 有效: 0, IPv4: 40, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 4K频道, 名称: 河南卫视4K, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 4K频道, 名称: 四川卫视4K, 有效: 0, IPv4: 43, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视卫视频道, 名称: CCTV-1, 有效: 11, IPv4: 163, IPv6: 0, 最小延迟: 344 ms, 最高速率: 2.61 M/s, 平均速率: 1.03 M/s, 最高分辨率: 1920x1080, 平均帧率: 36.11, 视频编解码器: h264, 音频编解码器: aac
分类: 央视卫视频道, 名称: CCTV-2, 有效: 10, IPv4: 120, IPv6: 0, 最小延迟: 465 ms, 最高速率: 3.47 M/s, 平均速率: 1.16 M/s, 最高分辨率: 1920x1080, 平均帧率: 43.33, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视卫视频道, 名称: CCTV-3, 有效: 12, IPv4: 124, IPv6: 0, 最小延迟: 414 ms, 最高速率: 2.33 M/s, 平均速率: 0.96 M/s, 最高分辨率: 1920x1080, 平均帧率: 34.62, 视频编解码器: h264, 音频编解码器: aac
分类: 央视卫视频道, 名称: CCTV-4, 有效: 8, IPv4: 145, IPv6: 0, 最小延迟: 431 ms, 最高速率: 3.28 M/s, 平均速率: 1.18 M/s, 最高分辨率: 1920x1080, 平均帧率: 42.50, 视频编解码器: h264, 音频编解码器: aac
分类: 央视卫视频道, 名称: CCTV-5, 有效: 10, IPv4: 151, IPv6: 0, 最小延迟: 441 ms, 最高速率: 7.08 M/s, 平均速率: 1.61 M/s, 最高分辨率: 1920x1080, 平均帧率: 36.67, 视频编解码器: h264, 音频编解码器: aac
分类: 央视卫视频道, 名称: CCTV-5+, 有效: 7, IPv4: 73, IPv6: 0, 最小延迟: 253 ms, 最高速率: 2.51 M/s, 平均速率: 1.46 M/s, 最高分辨率: 1920x1080, 平均帧率: 34.38, 视频编解码器: h264, 音频编解码器: aac
分类: 央视卫视频道, 名称: CCTV-6, 有效: 8, IPv4: 116, IPv6: 0, 最小延迟: 358 ms, 最高速率: 2.18 M/s, 平均速率: 1.11 M/s, 最高分辨率: 1920x1080, 平均帧率: 34.62, 视频编解码器: h264, 音频编解码器: aac
分类: 央视卫视频道, 名称: CCTV-7, 有效: 8, IPv4: 120, IPv6: 0, 最小延迟: 458 ms, 最高速率: 5.48 M/s, 平均速率: 1.52 M/s, 最高分辨率: 1920x1080, 平均帧率: 44.23, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视卫视频道, 名称: CCTV-8, 有效: 10, IPv4: 123, IPv6: 0, 最小延迟: 313 ms, 最高速率: 3.70 M/s, 平均速率: 1.49 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.93, 视频编解码器: h264, 音频编解码器: aac
分类: 央视卫视频道, 名称: CCTV-9, 有效: 7, IPv4: 112, IPv6: 0, 最小延迟: 2406 ms, 最高速率: 1.24 M/s, 平均速率: 0.88 M/s, 最高分辨率: 1920x1080, 平均帧率: 42.65, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视卫视频道, 名称: CCTV-10, 有效: 8, IPv4: 119, IPv6: 0, 最小延迟: 510 ms, 最高速率: 7.62 M/s, 平均速率: 1.85 M/s, 最高分辨率: 1920x1080, 平均帧率: 42.50, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视卫视频道, 名称: CCTV-11, 有效: 5, IPv4: 110, IPv6: 0, 最小延迟: 483 ms, 最高速率: 8.58 M/s, 平均速率: 2.45 M/s, 最高分辨率: 1920x1080, 平均帧率: 40.38, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视卫视频道, 名称: CCTV-12, 有效: 6, IPv4: 115, IPv6: 0, 最小延迟: 2099 ms, 最高速率: 1.20 M/s, 平均速率: 0.84 M/s, 最高分辨率: 1920x1080, 平均帧率: 40.91, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视卫视频道, 名称: CCTV-13, 有效: 5, IPv4: 119, IPv6: 0, 最小延迟: 1983 ms, 最高速率: 1.12 M/s, 平均速率: 0.97 M/s, 最高分辨率: 1920x1080, 平均帧率: 44.44, 视频编解码器: h264, 音频编解码器: aac
分类: 央视卫视频道, 名称: CCTV-14, 有效: 11, IPv4: 120, IPv6: 0, 最小延迟: 360 ms, 最高速率: 8.13 M/s, 平均速率: 2.13 M/s, 最高分辨率: 1920x1080, 平均帧率: 45.00, 视频编解码器: h264, 音频编解码器: aac
分类: 央视卫视频道, 名称: CCTV-15, 有效: 5, IPv4: 107, IPv6: 0, 最小延迟: 376 ms, 最高速率: 8.80 M/s, 平均速率: 4.04 M/s, 最高分辨率: 1920x1080, 平均帧率: 39.58, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视卫视频道, 名称: CCTV-16, 有效: 4, IPv4: 60, IPv6: 0, 最小延迟: 361 ms, 最高速率: 9.21 M/s, 平均速率: 4.58 M/s, 最高分辨率: 1920x1080, 平均帧率: 41.67, 视频编解码器: h264, 音频编解码器: aac
分类: 央视卫视频道, 名称: CETV-1, 有效: 0, IPv4: 41, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视卫视频道, 名称: CETV-2, 有效: 0, IPv4: 14, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视卫视频道, 名称: CCTV-17, 有效: 3, IPv4: 86, IPv6: 0, 最小延迟: 3169 ms, 最高速率: 1.30 M/s, 平均速率: 0.89 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: aac
分类: 央视卫视频道, 名称: CETV-4, 有效: 0, IPv4: 39, IPv6: 0, 最小延迟: 5525 ms, 最高速率: 0.02 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: aac
分类: 央视卫视频道, 名称: CGTN, 有效: 0, IPv4: 32, IPv6: 0, 最小延迟: 3381 ms, 最高速率: 0.74 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视卫视频道, 名称: 湖南卫视, 有效: 7, IPv4: 110, IPv6: 0, 最小延迟: 2415 ms, 最高速率: 1.18 M/s, 平均速率: 0.87 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.50, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视卫视频道, 名称: 浙江卫视, 有效: 6, IPv4: 114, IPv6: 0, 最小延迟: 1699 ms, 最高速率: 0.92 M/s, 平均速率: 0.70 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.17, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视卫视频道, 名称: 东方卫视, 有效: 5, IPv4: 102, IPv6: 0, 最小延迟: 2946 ms, 最高速率: 1.22 M/s, 平均速率: 0.96 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 央视卫视频道, 名称: 江苏卫视, 有效: 5, IPv4: 110, IPv6: 0, 最小延迟: 1210 ms, 最高速率: 1.21 M/s, 平均速率: 0.82 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.69, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视卫视频道, 名称: 北京卫视, 有效: 7, IPv4: 117, IPv6: 0, 最小延迟: 2024 ms, 最高速率: 1.33 M/s, 平均速率: 0.85 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.42, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视卫视频道, 名称: 广东卫视, 有效: 7, IPv4: 126, IPv6: 0, 最小延迟: 1868 ms, 最高速率: 1.31 M/s, 平均速率: 0.88 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
分类: 央视卫视频道, 名称: 深圳卫视, 有效: 5, IPv4: 115, IPv6: 0, 最小延迟: 2118 ms, 最高速率: 1.22 M/s, 平均速率: 1.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 38.89, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视卫视频道, 名称: 安徽卫视, 有效: 5, IPv4: 118, IPv6: 0, 最小延迟: 1933 ms, 最高速率: 1.19 M/s, 平均速率: 0.78 M/s, 最高分辨率: 1920x1080, 平均帧率: 36.36, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视卫视频道, 名称: 山东卫视, 有效: 6, IPv4: 110, IPv6: 0, 最小延迟: 1685 ms, 最高速率: 1.30 M/s, 平均速率: 0.92 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.42, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视卫视频道, 名称: 天津卫视, 有效: 6, IPv4: 109, IPv6: 0, 最小延迟: 2257 ms, 最高速率: 1.12 M/s, 平均速率: 0.76 M/s, 最高分辨率: 1920x1080, 平均帧率: 38.89, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视卫视频道, 名称: 四川卫视, 有效: 5, IPv4: 109, IPv6: 0, 最小延迟: 2965 ms, 最高速率: 1.21 M/s, 平均速率: 0.77 M/s, 最高分辨率: 1920x1080, 平均帧率: 40.00, 视频编解码器: h264, 音频编解码器: aac
分类: 央视卫视频道, 名称: 重庆卫视, 有效: 6, IPv4: 107, IPv6: 0, 最小延迟: 2374 ms, 最高速率: 1.17 M/s, 平均速率: 0.80 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: aac
分类: 央视卫视频道, 名称: 湖北卫视, 有效: 6, IPv4: 116, IPv6: 0, 最小延迟: 2667 ms, 最高速率: 1.32 M/s, 平均速率: 0.87 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.78, 视频编解码器: h264, 音频编解码器: aac
分类: 央视卫视频道, 名称: 河南卫视, 有效: 2, IPv4: 106, IPv6: 0, 最小延迟: 1333 ms, 最高速率: 1.24 M/s, 平均速率: 1.08 M/s, 最高分辨率: 1920x1080, 平均帧率: 41.67, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视卫视频道, 名称: 河北卫视, 有效: 5, IPv4: 104, IPv6: 0, 最小延迟: 2126 ms, 最高速率: 1.48 M/s, 平均速率: 0.96 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视卫视频道, 名称: 辽宁卫视, 有效: 4, IPv4: 113, IPv6: 0, 最小延迟: 1635 ms, 最高速率: 1.30 M/s, 平均速率: 1.03 M/s, 最高分辨率: 1920x1080, 平均帧率: 40.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视卫视频道, 名称: 黑龙江卫视, 有效: 2, IPv4: 104, IPv6: 0, 最小延迟: 2092 ms, 最高速率: 1.39 M/s, 平均速率: 1.19 M/s, 最高分辨率: 1920x1080, 平均帧率: 40.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视卫视频道, 名称: 吉林卫视, 有效: 4, IPv4: 103, IPv6: 0, 最小延迟: 1413 ms, 最高速率: 1.15 M/s, 平均速率: 0.94 M/s, 最高分辨率: 1920x1080, 平均帧率: 41.67, 视频编解码器: h264, 音频编解码器: aac
